model,score,count
ANSWER_rscr/ruadapt_qwen2.5_32b:Q8_0,10,51
ANSWER_IlyaGusev/saiga_llama3_8b,0,41
ANSWER_Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,10,33
ANSWER_Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,0,32
ANSWER_IlyaGusev/saiga_llama3_8b,10,14
ANSWER_rscr/ruadapt_qwen2.5_32b:Q8_0,0,13
ANSWER_Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,5,7
ANSWER_IlyaGusev/saiga_llama3_8b,2,6
ANSWER_IlyaGusev/saiga_llama3_8b,3,6
ANSWER_Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,6,5
ANSWER_IlyaGusev/saiga_llama3_8b,5,5
ANSWER_rscr/ruadapt_qwen2.5_32b:Q8_0,8,5
ANSWER_IlyaGusev/saiga_llama3_8b,9,4
ANSWER_rscr/ruadapt_qwen2.5_32b:Q8_0,5,4
ANSWER_IlyaGusev/saiga_llama3_8b,8,4
ANSWER_rscr/ruadapt_qwen2.5_32b:Q8_0,4,3
ANSWER_rscr/ruadapt_qwen2.5_32b:Q8_0,2,3
ANSWER_Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,4,3
ANSWER_Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,3,3
ANSWER_IlyaGusev/saiga_llama3_8b,7,3
ANSWER_IlyaGusev/saiga_llama3_8b,4,3
ANSWER_rscr/ruadapt_qwen2.5_32b:Q8_0,9,3
ANSWER_Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,8,2
ANSWER_rscr/ruadapt_qwen2.5_32b:Q8_0,6,2
ANSWER_rscr/ruadapt_qwen2.5_32b:Q8_0,7,2
ANSWER_Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,9,1
ANSWER_IlyaGusev/saiga_llama3_8b,1,1
ANSWER_rscr/ruadapt_qwen2.5_32b:Q8_0,3,1
ANSWER_Vikhrmodels/Vikhr-Nemo-12B-Instruct-R-21-09-24,2,1
